episode,rewards_total
834,-6.96367196365
835,20.9259113596
836,-18.8112502763
837,-65.649992968
838,20.9220881257
839,-51.0034239296
840,-25.7004895279
841,23.8056070701
842,11.0035814935
843,11.0421686296
844,11.0400486442
845,11.0300601039
846,23.8056630755
847,11.097849861
848,11.124777642
849,11.0316594929
850,23.8056436041
851,23.8056364101
852,23.8056530757
853,7.67071170841
854,23.805650154
855,12.6655241682
856,6.06011674095
857,11.7307526425
858,6.03342920753
859,23.8056219573
860,3.25875933868
861,6.64719693746
862,5.95201313393
863,6.1100670794
864,5.8971876608
865,23.805649856
866,3.05980477606
867,23.8056423676
868,8.39343482524
869,5.99110626699
870,3.38960712933
871,20.9180048027
872,5.6779064398
873,5.99034538841
874,18.6733197911
875,14.0539245626
876,5.57685294692
877,23.8056484701
878,3.14490081263
879,17.3699355779
880,23.8056372809
881,-72.7495551545
882,-15.0125628849
883,-53.4490058621
884,-125.455479208
885,-37.3450136403
886,-50.0515821095
887,-30.1966621184
888,-52.2938288616
889,-29.6407655747
890,23.8056387173
891,-61.0038849094
892,-10.7190511774
893,-25.8832815675
894,-45.6204392454
895,-57.9386851042
896,23.8056405252
897,-49.8351002035
898,11.8220008412
899,23.8056484641
900,-54.947647307
901,23.8056418313
902,-83.637277397
903,23.8056384445
904,16.3609354566
905,15.2816394007
906,16.1075848199
907,-6.59447212558
908,-2.6323676196
909,-2.38476387907
910,20.9466306484
911,-0.679555323558
912,-4.74053666402
913,-7.25463822082
914,15.7172746957
915,-6.61700400624
916,-5.30062958018
917,16.0445836273
918,-4.96440067588
919,-4.8504912929
920,-2.43708558709
921,2.76868560769
922,21.070898245
923,-4.88762632045
924,16.2353014858
925,16.0794301831
926,-3.32348957666
927,4.77165318175
928,-7.20471288707
929,13.0817358691
930,7.64273734114
931,-4.86411524332
932,14.6115756735
933,-3.50914400076
934,-6.93733118594
935,-5.24643962623
936,16.5062741668
937,-2.55635711215
938,-4.97521874755
939,-7.4668228279
940,-2.39974301409
941,15.4621446062
942,16.2739764861
943,-4.78956999066
944,-5.19823179058
945,-7.33367113768
946,-6.61899535271
947,-2.842156912
948,6.72555566783
949,-7.31824697538
950,-4.79835818542
951,-5.02060030499
952,16.4155926346
953,21.7102784024
954,4.12062591582
955,6.22283155996
956,5.97672540339
957,6.11295757111
958,3.83713718752
959,5.81900569179
960,6.35139190106
961,6.04709540918
962,3.2280318649
963,6.25459046429
964,6.15200202364
965,5.96383970324
966,3.71978853973
967,3.43148333335
968,5.64408999949
969,5.95134825139
970,3.50100277146
971,3.79255732063
972,5.672743742
973,8.62886178138
974,12.8221172926
975,5.92470159294
976,-122.747657918
977,-114.475665509
978,-123.97183581
979,-116.783016182
980,-128.477420583
981,-125.625023145
982,-121.089897227
983,-115.708281367
984,-115.598771893
985,-127.616856505
986,-117.610106725
987,-118.363986303
988,-116.931163412
989,-130.633528316
990,-129.197640946
991,-127.835994959
992,-131.178704191
993,-109.663328788
994,-128.410459923
995,-120.61981936
996,-107.877122225
997,-108.483039192
998,23.8056386274
999,23.8056313052
1000,23.8056342176
